title,authors,abstract,submission_date,pdf_link
"arXiv:2604.07129 [ pdf , ps , other ]","['Elsa Cardoso-Bihlo', 'Alex Bihlo']","Numerical simulation of wave propagation and run-up is a cornerstone of coastal engineering and tsunami hazard assessment. However, applying these forward models to inverse problems, such as bathymetry estimation, source inversion, and structural optimization, remains notoriously difficult due to the rigidity and high computational cost of deriving discrete adjoints. In this paper, we introduce AegirJAX, a fully differentiable hydrodynamic solver based on the depth-integrated, non-hydrostatic shallow-water equations. By implementing the solver entirely within a reverse-mode automatic differentiation framework, AegirJAX treats the time-marching physics loop as a continuous computational graph. We demonstrate the framework's versatility across a suite of scientific machine learning tasks: (1) discovering regime-specific neural corrections for model misspecifications in highly dispersive wave propagation; (2) performing continuous topology optimization for breakwater design; (3) training recurrent neural networks in-the-loop for active wave cancellation; and (4) inverting hidden bathymetry and submarine landslide kinematics directly from downstream sensor data. The proposed differentiable paradigm fundamentally blurs the line between forward simulation and inverse optimization, offering a unified, end-to-end framework for coastal hydrodynamics. △ Less","8 April, 2026",https://arxiv.org/pdf/2604.07129
"arXiv:2604.06980 [ pdf , ps , other ]","['Lantian Zhang', 'Bo Wahlberg', 'Silun Zhang']","This paper concerns the adaptive control problem for a class of nonlinear stochastic systems in which the state update is given by a nonlinear function of linear dynamics plus additive stochastic noise. Such systems arise in a wide range of applications, including recurrent neural networks , social dynamics, and signal processing. Despite their importance, adaptive control for these systems remains relatively unexplored in the literature. This gap is primarily due to the inherently nonconvex dependence of the system dynamics on unknown parameters, which significantly complicates both controller design and analysis. To address these challenges, we propose an online nonlinear weighted least-squares (WLS)-based parameter estimation algorithm and establish the global strong consistency of the resulting parameter estimates. In contrast to most existing results, our consistency analysis does not rely on restrictive assumptions such as persistent excitation conditions of the trajectory data, making it applicable to stochastic adaptive control settings. Building on the proposed estimator, we further develop an adaptive control algorithm with an attenuating excitation signal that can effectively combine adaptive estimation and feedback control. Finally, we are able to show that the resulting closed-loop system is globally stable and that the system trajectory can track, in a long-run average sense, the reference trajectory generated with the true system parameters. The proposed methods and theoretical results are finally validated through simulations in two nonlinear interaction network applications. △ Less","8 April, 2026",https://arxiv.org/pdf/2604.06980
"arXiv:2604.06469 [ pdf , ps , other ]","['Mahdi Moghaddami', 'Mohammad-Reza Siadat', 'Austin Toma', 'Connor Laming', 'Huirong Fu']","Alzheimer's disease (AD) is a neurodegenerative disorder that affects more than seven million people in the United States alone. AD currently has no cure, but there are ways to potentially slow its progression if caught early enough. In this study, we propose a graph neural network (GNN)-based model for predicting whether a subject will transition to a more severe stage of cognitive impairment at their next clinical visit. We consider three stages of cognitive impairment in order of severity: cognitively normal (CN), mild cognitive impairment (MCI), and AD. We use functional connectivity graphs derived from resting-state functional magnetic resonance imaging (rs-fMRI) scans of 303 subjects, each with a different number of visits. Our GNN-based model incorporates a recurrent neural network (RNN) block, enabling it to process data from the subject's entire visit history. It can also work with irregular time gaps between visits by incorporating visit distance information into our input features. Our model demonstrates robust predictive performance, even with missing visits in the subjects' visit histories. It achieves an accuracy of 82.9%, with an especially impressive accuracy of 68.8% on CN to MCI conversions - a task that poses a substantial challenge in the field. Our results highlight the effectiveness of rs-fMRI in predicting the onset of MCI or AD and, in conjunction with other modalities, could offer a viable method for enabling timely interventions to slow the progression of cognitive impairment. △ Less","7 April, 2026",https://arxiv.org/pdf/2604.06469
"arXiv:2604.03444 [ pdf , ps , other ]","['William Merrill', 'Yanhong Li', 'Tyler Romero', 'Anej Svete', 'Caia Costello', 'Pradeep Dasigi', 'Dirk Groeneveld', 'David Heineman', 'Bailey Kuehl', 'Nathan Lambert', 'Chuan Li', 'Kyle Lo', 'Saumya Malik', 'DJ Matusz', 'Benjamin Minixhofer', 'Jacob Morrison', 'Luca Soldaini', 'Finbarr Timbers', 'Pete Walsh', 'Noah A. Smith', 'Hannaneh Hajishirzi', 'Ashish Sabharwal']","Recent work has demonstrated the potential of non-transformer language models, especially linear recurrent neural networks (RNNs) and hybrid models that mix recurrence and attention. Yet there is no consensus on whether the potential benefits of these new architectures justify the risk and effort of scaling them up. To address this, we provide evidence for the advantages of hybrid models over pure transformers on several fronts. First, theoretically, we show that hybrid models do not merely inherit the expressivity of transformers and linear RNNs, but can express tasks beyond both, such as code execution. Putting this theory to practice, we train Olmo Hybrid, a 7B-parameter model largely comparable to Olmo 3 7B but with the sliding window layers replaced by Gated DeltaNet layers. We show that Olmo Hybrid outperforms Olmo 3 across standard pretraining and mid-training evaluations, demonstrating the benefit of hybrid models in a controlled, large-scale setting. We find that the hybrid model scales significantly more efficiently than the transformer, explaining its higher performance. However, its unclear why greater expressivity on specific formal problems should result in better scaling or superior performance on downstream tasks unrelated to those problems. To explain this apparent gap, we return to theory and argue why increased expressivity should translate to better scaling efficiency, completing the loop. Overall, our results suggest that hybrid models mixing attention and recurrent layers are a powerful extension to the language modeling paradigm: not merely to reduce memory during inference, but as a fundamental way to obtain more expressive models that scale better during pretraining. △ Less","7 April, 2026",https://arxiv.org/pdf/2604.03444
"arXiv:2604.02474 [ pdf , ps , other ]",['Jonathon Hirschi'],"Dynamical systems describe how a physical system evolves over time. Physical processes can evolve faster or slower in different environmental conditions. We use time-warping as rescaling the time in a model of a physical system. This thesis proposes a new method of transfer learning for Recurrent Neural Networks (RNNs) based on time-warping. We prove that for a class of linear, first-order differential equations known as time lag models, an LSTM can approximate these systems with any desired accuracy, and the model can be time-warped while maintaining the approximation accuracy.
  The Time-Warping method of transfer learning is then evaluated in an applied problem on predicting fuel moisture content (FMC), an important concept in wildfire modeling. An RNN with LSTM recurrent layers is pretrained on fuels with a characteristic time scale of 10 hours, where there are large quantities of data available for training. The RNN is then modified with transfer learning to generate predictions for fuels with characteristic time scales of 1 hour, 100 hours, and 1000 hours. The Time-Warping method is evaluated against several known methods of transfer learning. The Time-Warping method produces predictions with an accuracy level comparable to the established methods, despite modifying only a small fraction of the parameters that the other methods modify. △ Less","2 April, 2026",https://arxiv.org/pdf/2604.02474
"arXiv:2604.02201 [ pdf , ps , other ]","['Maude Lizaire', 'Michael Rizvi-Martel', 'Éric Dupuis', 'Guillaume Rabusseau']","The benefits of depth in feedforward neural networks are well known: composing multiple layers of linear transformations with nonlinear activations enables complex computations. While similar effects are expected in recurrent neural networks (RNNs), it remains unclear how depth interacts with recurrence to shape expressive power. Here, we formally show that depth increases RNNs' memory capacity efficiently with respect to the number of parameters, thus enhancing expressivity both by enabling more complex input transformations and improving the retention of past information. We broaden our analysis to 2RNNs, a generalization of RNNs with multiplicative interactions between inputs and hidden states. Unlike RNNs, which remain linear without nonlinear activations, 2RNNs perform polynomial transformations whose maximal degree grows with depth. We further show that multiplicative interactions cannot, in general, be replaced by layerwise nonlinearities. Finally, we validate these insights empirically on synthetic and real-world tasks. △ Less","2 April, 2026",https://arxiv.org/pdf/2604.02201
"arXiv:2604.00119 [ pdf , ps , other ]","['Anand Gokhale', 'Anton V. Proskurnikov', 'Yu Kawano', 'Francesco Bullo']","This paper studies contractivity of firing-rate and Hopfield recurrent neural networks . We derive sharp LMI conditions on the synaptic matrices that characterize contractivity of both architectures, for activation functions that are either non-expansive or monotone non-expansive, in both continuous and discrete time. We establish structural relationships among these conditions, including connections to Schur diagonal stability and the recovery of optimal contraction rates for symmetric synaptic matrices. We demonstrate the utility of these results through two applications. First, we develop an LMI-based design procedure for low-gain integral controllers enabling reference tracking in contracting firing rate networks. Second, we provide an exact parameterization of weight matrices that guarantee contraction and use it to improve the expressivity of Implicit Neural Networks, achieving competitive performance on image classification benchmarks with fewer parameters. △ Less","31 March, 2026",https://arxiv.org/pdf/2604.00119
"arXiv:2603.29597 [ pdf , ps , other ]","['Claus Metzner', 'Achim Schilling', 'Andreas Maier', 'Thomas Kinfe', 'Patrick Krauss']","Reservoirs, typically implemented as recurrent neural networks with fixed random connection weights, can be combined with a simple trained readout layer to perform a wide range of computational tasks. However, increasing the magnitude of reservoir connection weights to exploit nonlinear dynamics can cause the network to develop strong spontaneous activity that drives neurons into saturation, dramatically degrading performance. In this work, we investigate two distinct countermeasures against such runaway excitation. The first approach introduces a subtle non-homogeneous structure into the matrix of connection weigths $w_{ij}$, without altering the overall probability distribution $p(w)$. We identify several favorable structuring principles, such as creating a small subset of neurons with weaker-than-average input connections. Even if the rest of the reservoir falls into runaway saturating behavior, this weakly coupled subset remains in a mildly nonlinear regime whose dynamics can still be exploited by the readout layer. The second approach implements a form of automatic gain control, in which a dedicated control unit dynamically regulates the reservoir's average global activation toward an optimal setpoint. Although the control unit modulates the excitability of the reservoir only via a global gain factor, this mechanism substantially enlarges the dynamical regime favorable for computation and renders performance largely independent of the underlying connection statistics. △ Less","31 March, 2026",https://arxiv.org/pdf/2603.29597
"arXiv:2603.29298 [ pdf , ps , other ]","['Soumyadip Hazra', 'Sraboni Dey', 'Arijit Kayal', 'Narendra Shah', 'Renjith Nadarajan', 'Joy Mitra']","Wrinkles and nanobubbles are an integral and often unavoidable part of integrating 2D van der Waals semiconductors into actual device architectures. Despite their ubiquitous nature, quantitative correlation between such spatially non-uniform strain and modifications to the local electronic structure remains challenging. Here, density functional theory is combined with a recurrent neural network to reconstruct the local electronic structure of monolayer MoS2 from strain maps derived from atomic force microscopy (AFM) topography and Raman spectral maps. The analysis reveals that biaxial bending induced strain is significantly more effective than both uniaxial bending or in-plane strain in modifying electronic and dielectric properties. A ~ 0.35% strain induced by biaxial bending results in ~ 22% reduction in band gap and ~ 7% increase in dielectric constant, compared to a ~ 5% reduction in band gap and ~ 1% increase in dielectric constant under comparable uniaxial bending. The modified band structure reveals band edge states that concentrate charge in regions of high curvature or strain. While conductive AFM measurements indicate increased local conductance (carrier density) at wrinkles and nanobubbles, the spatial band gap maps predicted by the model are validated against experimental photoluminescence peak energy maps. The results indicate that strained features like wrinkles and nanobubbles commonly present in real devices influence the band gap, carrier distribution, and dielectric response, which favourably affects electrical transport in such systems. The framework developed here can be readily extended to other 2D materials and heterostructures, offering a computationally efficient route for studying and exploiting strain effects. △ Less","31 March, 2026",https://arxiv.org/pdf/2603.29298
"arXiv:2603.27492 [ pdf , ps , other ]","['Yizhe Li', 'Shixiao Wang', 'Jian K. Liu']","Motor kinematics prediction (MKP) from electroencephalography (EEG) is an important research area for developing movement-related brain-computer interfaces (BCIs). While traditional methods often rely on convolutional neural networks (CNNs) or recurrent neural networks (RNNs), Transformer-based models have shown strong ability in modeling long sequential EEG data. In this study, we propose a CNN-attention hybrid model for decoding hand kinematics from EEG during grasp-and-lift tasks, achieving strong performance in within-subject experiments. We further extend this approach to EEG-EMG multimodal decoding, which yields substantially improved results. Within-subject tests achieve PCC values of 0.9854, 0.9946, and 0.9065 for the X, Y, and Z axes, respectively, computed on the midpoint trajectory between the thumb and index finger, while cross-subject tests result in 0.9643, 0.9795, and 0.5852. The decoded trajectories from both modalities are then used to control a Franka Panda robotic arm in a MuJoCo simulation. To enhance trajectory fidelity, we introduce a copilot framework that filters low-confidence decoded points using a motion-state-aware critic within a finite-state machine. This post-processing step improves the overall within-subject PCC of EEG-only decoding to 0.93 while excluding fewer than 20% of the data points. △ Less","28 March, 2026",https://arxiv.org/pdf/2603.27492
